ppid,trial_num_in_block,time,block_num,vel_m_filt,vel_lat_filt,acc_m_filtfilt,dec_m_filtfilt,acc_lat_filtfilt,dec_lat_filtfilt,order
d1-008,8,pre,2,842.8938812903045,445,2550.5817424100724,-2962.163495063664,40,630,pre
d1-008,9,post,5,675.1418247356385,445,2745.352352250972,-1690.5409587252475,55,615,second
d1-008,9,pre,2,796.0319344225443,410,4045.8550056903737,-2846.456609150225,85,580,pre
d1-008,10,post,5,716.3131679434564,445,2206.1738682329396,-2010.5375857698411,165,675,second
d1-008,10,pre,2,838.7578135918556,355,3025.323078729104,-2655.254735195952,170,590,pre
d1-008,11,post,5,632.1963453770791,365,2555.5062681125137,-1589.0988188109109,145,665,second
d1-008,11,pre,2,879.7306914576483,380,3954.393321423867,-3173.5180313577303,85,495,pre
d1-008,12,post,5,517.8092895274098,925,3126.8548948635134,-1521.3630823371634,705,1085,second
d1-008,12,pre,2,823.3696397312032,365,3661.8939920509147,-2639.2385890226224,130,505,pre
d1-008,13,post,5,721.5515489721918,360,2798.0874756323738,-1938.5561295466264,115,560,second
d1-008,13,pre,2,853.9552146324887,450,2989.243829397426,-3189.6172264431702,60,510,pre
d1-008,14,post,5,655.115773539002,450,2468.297553427274,-1785.0210213578564,195,765,second
d1-008,14,pre,2,780.7461012932606,390,3252.0330229074666,-2448.882681013858,60,575,pre
d1-008,15,post,5,700.0376465183708,410,2456.5784139215784,-1600.7493836812498,175,705,second
d1-008,15,pre,2,876.7197500896672,345,3981.6360031967956,-2996.5320978822374,65,550,pre
d1-008,16,post,5,612.3233767160887,515,2051.1032478935567,-1656.4220451603867,135,645,second
d1-008,16,pre,2,980.1518857097807,390,4158.3791340396565,-3627.9596698316136,55,540,pre
d1-008,17,post,5,663.0429972165584,370,3402.4662245867466,-1751.6799727768446,65,635,second
d1-008,17,pre,2,851.2169699373189,370,3157.9175535459644,-2962.8659562253342,60,590,pre
d1-008,18,post,5,608.7789268435288,565,2051.1603249563086,-1374.9985716803926,165,830,second
d1-008,18,pre,2,935.0741820005251,355,3815.775401490986,-3280.1408523538216,55,525,pre
d1-009,1,post,4,762.6959271660276,275,3264.8864767897467,-2141.138781707096,65,560,first
d1-009,1,pre,1,950.1812739612193,320,3764.4554413887913,-3545.8567313790236,200,465,pre
d1-009,2,post,4,948.3382951331234,286,4711.267227578916,-4149.724610510415,161,406,first
