experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,landmark_estimates_location_0,landmark_gaze_data_location_0,manual_reach_gaze_data_location_0,manual_reach_vrpn_movement_location_0,manual_reach_openvr_movement_steamvr_location_0,manual_reach_manus_movement_manus_Bip01 R Hand_location_0,tool_reach_gaze_data_location_0,tool_reach_vrpn_tool_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_manus_movement_manus_Bip01 R Hand_location_0
3_avatartooluse,d3-006,2,59,3,23,2657.805,2664.058,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T059.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T059.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T059.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T059.csv
3_avatartooluse,d3-006,2,60,3,24,2667.012,2673.453,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T060.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T060.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T060.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T060.csv
3_avatartooluse,d3-006,2,61,3,25,2676.408,2683.481,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T061.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T061.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T061.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T061.csv
3_avatartooluse,d3-006,2,62,3,26,2686.436,2692.667,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T062.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T062.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T062.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T062.csv
3_avatartooluse,d3-006,2,63,3,27,2695.621,2701.602,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T063.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T063.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T063.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T063.csv
3_avatartooluse,d3-006,2,64,3,28,2704.561,2711.114,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T064.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T064.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T064.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T064.csv
3_avatartooluse,d3-006,2,65,3,29,2714.067,2720.706,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T065.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T065.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T065.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T065.csv
3_avatartooluse,d3-006,2,66,3,30,2723.664,2730.526,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T066.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T066.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T066.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T066.csv
3_avatartooluse,d3-006,2,67,3,31,2733.481,2738.969,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T067.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T067.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T067.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T067.csv
3_avatartooluse,d3-006,2,68,3,32,2741.928,2747.43,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T068.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T068.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T068.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T068.csv
