ppid,trial_num_in_block,time,start_time
d3-020,16,pre,375
d3-020,17,pre,565
d3-020,18,pre,375
d3-021,1,post,385
d3-021,2,post,315
d3-021,3,post,270
d3-021,4,post,320
d3-021,5,post,165
d3-021,6,post,150
d3-021,7,post,265
d3-021,8,post,305
d3-021,9,post,275
d3-021,10,post,285
d3-021,11,post,260
d3-021,12,post,175
d3-021,13,post,315
d3-021,14,post,355
d3-021,15,post,200
d3-021,16,post,290
d3-021,17,post,235
d3-021,18,post,375
d3-021,1,pre,295
d3-021,2,pre,230
d3-021,3,pre,190
d3-021,4,pre,250
d3-021,5,pre,130
d3-021,6,pre,220
d3-021,7,pre,115
d3-021,8,pre,130
d3-021,9,pre,210
d3-021,10,pre,240
d3-021,11,pre,145
d3-021,12,pre,265
d3-021,13,pre,90
d3-021,14,pre,195
d3-021,15,pre,215
d3-021,16,pre,150
d3-021,17,pre,110
d3-021,18,pre,230
d3-022,1,post,340
d3-022,2,post,305
d3-022,3,post,120
d3-022,4,post,315
d3-022,5,post,275
d3-022,6,post,185
d3-022,7,post,480
d3-022,8,post,280
d3-022,9,post,275
d3-022,10,post,400
d3-022,11,post,480
d3-022,12,post,270
d3-022,13,post,310
d3-022,14,post,230
d3-022,15,post,310
d3-022,16,post,250
d3-022,17,post,195
d3-022,18,post,280
d3-022,1,pre,1940
d3-022,2,pre,370
d3-022,3,pre,400
d3-022,4,pre,480
d3-022,5,pre,320
d3-022,6,pre,515
d3-022,7,pre,270
d3-022,8,pre,255
d3-022,9,pre,245
d3-022,10,pre,280
d3-022,11,pre,195
d3-022,12,pre,245
d3-022,13,pre,270
d3-022,14,pre,160
d3-022,15,pre,345
d3-022,16,pre,340
d3-022,17,pre,280
d3-022,18,pre,285
d3-023,1,post,365
d3-023,2,post,315
d3-023,3,post,350
d3-023,4,post,390
d3-023,5,post,415
d3-023,6,post,395
d3-023,7,post,300
d3-023,8,post,30
d3-023,9,post,655
d3-023,10,post,665
d3-023,11,post,405
d3-023,12,post,395
d3-023,13,post,690
d3-023,14,post,415
d3-023,15,post,695
d3-023,16,post,585
d3-023,17,post,390
d3-023,18,post,530
d3-023,1,pre,380
d3-023,2,pre,410
d3-023,3,pre,690
d3-023,4,pre,415
d3-023,5,pre,475
d3-023,6,pre,420
d3-023,7,pre,635
d3-023,8,pre,585
d3-023,9,pre,580
d3-023,10,pre,490
d3-023,11,pre,460
d3-023,12,pre,720
d3-023,13,pre,790
d3-023,14,pre,610
d3-023,15,pre,590
d3-023,16,pre,600
d3-023,17,pre,640
d3-023,18,pre,670
d3-024,1,post,255
d3-024,2,post,245
d3-024,3,post,265
d3-024,4,post,320
d3-024,5,post,290
d3-024,6,post,245
d3-024,7,post,285
d3-024,8,post,215
