ppid,experiment,order,block,trial,time,target,lapse_fix_target,error,lapse_fix_error,forearmlength,closest_to,lapse
d3-004,3_avatartooluse,pre,2,13,pre,Elbow,Elbow,0.0835,0.0835,0.3157,Forearm,FALSE
d3-004,3_avatartooluse,pre,2,14,pre,Wrist,Wrist,-0.0072,-0.0072,0.3161,Wrist,FALSE
d3-004,3_avatartooluse,pre,2,15,pre,Forearm,Forearm,-0.0043,-0.0043,0.3166,Forearm,FALSE
d3-004,3_avatartooluse,pre,2,16,pre,Elbow,Elbow,0.0574,0.0574,0.3159,Elbow,FALSE
d3-004,3_avatartooluse,pre,2,17,pre,Forearm,Forearm,0.0063,0.0063,0.3159,Forearm,FALSE
d3-004,3_avatartooluse,pre,2,18,pre,Wrist,Wrist,-0.0444,-0.0444,0.3156,Wrist,FALSE
d3-004,3_avatartooluse,second,5,1,post,Forearm,Forearm,-0.0127,-0.0127,0.2937,Forearm,FALSE
d3-004,3_avatartooluse,second,5,2,post,Elbow,Elbow,0.0373,0.0373,0.2938,Elbow,FALSE
d3-004,3_avatartooluse,second,5,3,post,Wrist,Wrist,-0.0503,-0.0503,0.2948,Wrist,FALSE
d3-004,3_avatartooluse,second,5,4,post,Forearm,Forearm,-0.0238,-0.0238,0.2944,Forearm,FALSE
d3-004,3_avatartooluse,second,5,5,post,Wrist,Wrist,-0.0532,-0.0532,0.2943,Wrist,FALSE
d3-004,3_avatartooluse,second,5,6,post,Elbow,Elbow,0.0346,0.0346,0.295,Elbow,FALSE
d3-004,3_avatartooluse,second,5,7,post,Wrist,Wrist,-0.0644,-0.0644,0.2954,Wrist,FALSE
d3-004,3_avatartooluse,second,5,8,post,Forearm,Forearm,-0.0216,-0.0216,0.2963,Forearm,FALSE
d3-004,3_avatartooluse,second,5,9,post,Elbow,Elbow,0.05,0.05,0.2972,Elbow,FALSE
d3-004,3_avatartooluse,second,5,10,post,Wrist,Wrist,-0.0406,-0.0406,0.2975,Wrist,FALSE
d3-004,3_avatartooluse,second,5,11,post,Forearm,Forearm,-0.01,-0.01,0.2983,Forearm,FALSE
d3-004,3_avatartooluse,second,5,12,post,Elbow,Elbow,0.0154,0.0154,0.2984,Elbow,FALSE
d3-004,3_avatartooluse,second,5,13,post,Wrist,Wrist,-0.0876,-0.0876,0.2988,Forearm,FALSE
d3-004,3_avatartooluse,second,5,14,post,Elbow,Elbow,0.0261,0.0261,0.3002,Elbow,FALSE
d3-004,3_avatartooluse,second,5,15,post,Forearm,Forearm,-0.0028,-0.0028,0.3011,Forearm,FALSE
d3-004,3_avatartooluse,second,5,16,post,Elbow,Elbow,0.022,0.022,0.3022,Elbow,FALSE
d3-004,3_avatartooluse,second,5,17,post,Wrist,Wrist,-0.1138,-0.1138,0.3012,Forearm,FALSE
d3-004,3_avatartooluse,second,5,18,post,Forearm,Forearm,0.0102,0.0102,0.3023,Forearm,FALSE
d3-005,3_avatartooluse,pre,2,1,pre,Elbow,Elbow,0.0519,0.0519,0.271,Elbow,FALSE
d3-005,3_avatartooluse,pre,2,2,pre,Forearm,Forearm,0.0312,0.0312,0.271,Forearm,FALSE
d3-005,3_avatartooluse,pre,2,3,pre,Wrist,Wrist,-0.0541,-0.0541,0.2722,Wrist,FALSE
d3-005,3_avatartooluse,pre,2,4,pre,Elbow,Elbow,-0.01,-0.01,0.2728,Elbow,FALSE
d3-005,3_avatartooluse,pre,2,5,pre,Forearm,Forearm,-0.0298,-0.0298,0.2731,Forearm,FALSE
d3-005,3_avatartooluse,pre,2,6,pre,Wrist,Wrist,-0.0562,-0.0562,0.2733,Wrist,FALSE
d3-005,3_avatartooluse,pre,2,7,pre,Elbow,Elbow,0.0161,0.0161,0.2732,Elbow,FALSE
d3-005,3_avatartooluse,pre,2,8,pre,Wrist,Wrist,-0.058,-0.058,0.2735,Wrist,FALSE
d3-005,3_avatartooluse,pre,2,9,pre,Forearm,Forearm,-0.0108,-0.0108,0.2736,Forearm,FALSE
d3-005,3_avatartooluse,pre,2,10,pre,Wrist,Wrist,-0.0343,-0.0343,0.2735,Wrist,FALSE
d3-005,3_avatartooluse,pre,2,11,pre,Forearm,Forearm,0.0138,0.0138,0.2739,Forearm,FALSE
d3-005,3_avatartooluse,pre,2,12,pre,Elbow,Elbow,0.0316,0.0316,0.2743,Elbow,FALSE
d3-005,3_avatartooluse,pre,2,13,pre,Wrist,Wrist,-0.0259,-0.0259,0.2739,Wrist,FALSE
d3-005,3_avatartooluse,pre,2,14,pre,Forearm,Forearm,0.0499,0.0499,0.2723,Forearm,FALSE
d3-005,3_avatartooluse,pre,2,15,pre,Elbow,Elbow,0.077,0.077,0.2715,Forearm,FALSE
d3-005,3_avatartooluse,pre,2,16,pre,Wrist,Wrist,-0.0071,-0.0071,0.2708,Wrist,FALSE
d3-005,3_avatartooluse,pre,2,17,pre,Elbow,Elbow,0.037,0.037,0.2706,Elbow,FALSE
d3-005,3_avatartooluse,pre,2,18,pre,Forearm,Forearm,0.0216,0.0216,0.2704,Forearm,FALSE
d3-005,3_avatartooluse,second,5,1,post,Forearm,Forearm,-0.0469,-0.0469,0.2777,Forearm,FALSE
d3-005,3_avatartooluse,second,5,2,post,Wrist,Wrist,-0.0487,-0.0487,0.2766,Wrist,FALSE
d3-005,3_avatartooluse,second,5,3,post,Elbow,Elbow,-0.0288,-0.0288,0.2759,Elbow,FALSE
d3-005,3_avatartooluse,second,5,4,post,Wrist,Wrist,-0.0482,-0.0482,0.2761,Wrist,FALSE
