ppid,trial_num_in_block,time,order,vel_m_filt,vel_lat_filt,acc_m_filtfilt,dec_m_filtfilt,acc_lat_filtfilt,dec_lat_filtfilt,tracking,combined_vel,combined_vel_lat,combined_acc,combined_acc_lat,combined_dec,combined_dec_lat,ovr_vel_m_filt,ovr_vel_lat_filt,ovr_acc_m_filtfilt,ovr_acc_lat_filtfilt,ovr_dec_m_filtfilt,ovr_dec_lat_filtfilt
d3-005,8,post,first,1132.3337785653,390,6518.8839697936,-3491.29839257394,300,485,ppt,,,,,,,,,,,,
d3-005,8,pre,pre,1060.03130752622,410,7599.65882252043,-5360.45933156452,175,485,ppt,,,,,,,,,,,,
d3-005,9,post,first,1096.20415459258,401.25,5674.04914645041,-4600.3334533347,230.4,568.5,ppt,,,,,,,,,,,,
d3-005,9,pre,pre,1314.73807989622,390,6742.53053766982,-6412.95993998748,215,485,ppt,,,,,,,,,,,,
d3-005,10,post,first,1042.19308847358,425,5605.37340512057,-3773.86801687131,245,680,ppt,,,,,,,,,,,,
d3-005,10,pre,pre,1158.88702444708,335,7003.75600751111,-6263.58835463066,175,465,ppt,,,,,,,,,,,,
d3-005,11,post,first,1094.98163157254,407.016666666667,6326.10322083891,-4788.09967945497,219.05,545.35,ppt,,,,,,,,,,,,
d3-005,11,pre,pre,1099.01353681685,375,10078.1852180473,-6300.75714146577,195,530,ppt,,,,,,,,,,,,
d3-005,12,post,first,1067.32949829575,390,4964.82808113614,-4666.92549658485,290,705,ppt,,,,,,,,,,,,
d3-005,12,pre,pre,1233.16830659596,385,5331.62615583686,-5515.11819864448,335,490,ppt,,,,,,,,,,,,
d3-005,13,post,first,1066.51360484567,475,6357.68648275655,-5022.2193167134,185,600,ppt,,,,,,,,,,,,
d3-005,13,pre,pre,1094.32773660033,414.1,5891.17311752684,-4772.71214620611,229.1,579.45,ppt,,,,,,,,,,,,
d3-005,14,post,first,908.525542321545,340,5958.65278307312,-3374.24654193827,240,510,ppt,,,,,,,,,,,,
d3-005,14,pre,pre,1202.2992018289,355,8057.35029104365,-5283.00701417619,160,470,ppt,,,,,,,,,,,,
d3-005,15,post,first,1081.97755382616,310,5809.86622630058,-3208.11027083696,175,635,ppt,,,,,,,,,,,,
d3-005,15,pre,pre,1084.55977760693,403.3,5756.63151481787,-4620.73698805701,215.35,571.05,ppt,,,,,,,,,,,,
d3-005,16,post,first,1113.24412668363,400,5361.67150776485,-4410.54788147885,280,690,ppt,,,,,,,,,,,,
d3-005,16,pre,pre,1162.41680420464,330,8696.23191303018,-5237.43547309697,210,525,ppt,,,,,,,,,,,,
