experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,landmarkstimulus_estimates_location_0,landmark_eyeTrackingData_location_0,manual_reach_eyeTrackingData_location_0,manual_reach_ppt_hand_movement_location_0,manual_reach_vive_wrist_movement_steamvr_location_0,tool_reach_eyeTrackingData_location_0,tool_reach_ppt_tool_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0
1_tooluseinVR,d1-001,1,20,2,2,608.956,613.5543,,,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T020.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T020.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T020.csv,,,
1_tooluseinVR,d1-001,1,21,2,3,615.6517,619.8402,,,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T021.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T021.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T021.csv,,,
1_tooluseinVR,d1-001,1,22,2,4,621.9272,625.8599,,,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T022.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T022.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T022.csv,,,
1_tooluseinVR,d1-001,1,23,2,5,627.9466,632.2242,,,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T023.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T023.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T023.csv,,,
1_tooluseinVR,d1-001,1,24,2,6,634.3332,638.0414,,,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T024.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T024.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T024.csv,,,
1_tooluseinVR,d1-001,1,25,2,7,640.1211,643.6396,,,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T025.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T025.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T025.csv,,,
1_tooluseinVR,d1-001,1,26,2,8,645.7375,649.2153,,,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T026.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T026.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T026.csv,,,
1_tooluseinVR,d1-001,1,27,2,9,651.3018,654.6897,,,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T027.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T027.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T027.csv,,,
1_tooluseinVR,d1-001,1,28,2,10,656.7664,660.1535,,,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T028.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T028.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T028.csv,,,
1_tooluseinVR,d1-001,1,29,2,11,662.2527,665.4154,,,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T029.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T029.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T029.csv,,,
