experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,manual_reach_vrpn_movement_location_0,manual_reach_gaze_data_location_0,manual_reach_openvr_movement_steamvr_location_0,manual_reach_manus_movement_manus_Bip01 R Hand_location_0,landmark_estimates_location_0,landmark_gaze_data_location_0,tool_reach_gaze_data_location_0,tool_reach_vrpn_tool_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_manus_movement_manus_Bip01 R Hand_location_0
3_avatartooluse,d3-009,1,75,3,39,2601.33,2607.947,,,,,,,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_gaze_data_T075.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T075.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T075.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T075.csv
3_avatartooluse,d3-009,1,76,3,40,2610.904,2618.877,,,,,,,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_gaze_data_T076.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T076.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T076.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T076.csv
3_avatartooluse,d3-009,1,77,3,41,2621.831,2630.622,,,,,,,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_gaze_data_T077.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T077.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T077.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T077.csv
3_avatartooluse,d3-009,1,78,3,42,2633.583,2641.556,,,,,,,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_gaze_data_T078.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T078.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T078.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T078.csv
3_avatartooluse,d3-009,1,79,3,43,2644.517,2651.506,,,,,,,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_gaze_data_T079.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T079.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T079.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T079.csv
3_avatartooluse,d3-009,1,80,3,44,2654.46,2660.613,,,,,,,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_gaze_data_T080.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T080.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T080.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T080.csv
3_avatartooluse,d3-009,1,81,3,45,2663.568,2671.186,,,,,,,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_gaze_data_T081.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T081.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T081.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T081.csv
3_avatartooluse,d3-009,1,82,3,46,2674.141,2681.029,,,,,,,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_gaze_data_T082.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T082.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T082.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T082.csv
3_avatartooluse,d3-009,1,83,3,47,2688.844,2694.554,,,,,,,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_gaze_data_T083.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T083.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T083.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T083.csv
3_avatartooluse,d3-009,1,84,3,48,2697.507,2718.212,,,,,,,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_gaze_data_T084.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T084.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T084.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T084.csv
3_avatartooluse,d3-009,1,85,4,1,2933.238,2938.36,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_vrpn_movement_T085.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_gaze_data_T085.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T085.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T085.csv,,,,,,
3_avatartooluse,d3-009,1,86,4,2,2941.313,2945.573,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_vrpn_movement_T086.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_gaze_data_T086.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T086.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T086.csv,,,,,,
3_avatartooluse,d3-009,1,87,4,3,2948.527,2952.953,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_vrpn_movement_T087.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_gaze_data_T087.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T087.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T087.csv,,,,,,
3_avatartooluse,d3-009,1,88,4,4,2955.908,2960.411,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_vrpn_movement_T088.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_gaze_data_T088.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T088.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T088.csv,,,,,,
3_avatartooluse,d3-009,1,89,4,5,2963.371,2968.222,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_vrpn_movement_T089.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_gaze_data_T089.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T089.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T089.csv,,,,,,
3_avatartooluse,d3-009,1,90,4,6,2971.178,2975.339,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_vrpn_movement_T090.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_gaze_data_T090.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T090.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T090.csv,,,,,,
3_avatartooluse,d3-009,1,91,4,7,2978.298,2983.276,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_vrpn_movement_T091.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_gaze_data_T091.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T091.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T091.csv,,,,,,
3_avatartooluse,d3-009,1,92,4,8,2986.227,2990.181,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_vrpn_movement_T092.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_gaze_data_T092.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T092.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T092.csv,,,,,,
