experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,openvr_position_offset_x,openvr_position_offset_y,openvr_position_offset_z,openvr_rotation_offset_x,openvr_rotation_offset_y,openvr_rotation_offset_z,openvr_scale_offset_x,openvr_scale_offset_y,openvr_scale_offset_z,landmark_estimates_location_0,landmark_gaze_data_location_0,manual_reach_vrpn_movement_location_0,manual_reach_gaze_data_location_0,manual_reach_openvr_movement_steamvr_location_0,manual_reach_manus_movement_manus_Bip01 R Hand_location_0,tool_reach_gaze_data_location_0,tool_reach_vrpn_tool_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_manus_movement_manus_Bip01 R Hand_location_0
3_avatartooluse,d3-023,1,64,3,28,2420.333,2427.371,0,0,0,0.249897,0,0.333023,1,1,1,,,,,,,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_gaze_data_T064.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T064.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T064.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T064.csv
3_avatartooluse,d3-023,1,65,3,29,2430.328,2436.113,0,0,0,0.249897,0,0.333023,1,1,1,,,,,,,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_gaze_data_T065.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T065.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T065.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T065.csv
3_avatartooluse,d3-023,1,66,3,30,2439.068,2445.31,0,0,0,0.249413,0,0.328037,1,1,1,,,,,,,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_gaze_data_T066.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T066.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T066.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T066.csv
3_avatartooluse,d3-023,1,67,3,31,2448.264,2454.972,0,0,0,0.245835,0,0.319406,1,1,1,,,,,,,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_gaze_data_T067.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T067.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T067.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T067.csv
3_avatartooluse,d3-023,1,68,3,32,2457.926,2463.923,0,0,0,0.245835,0,0.319406,1,1,1,,,,,,,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_gaze_data_T068.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T068.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T068.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T068.csv
3_avatartooluse,d3-023,1,69,3,33,2466.877,2473.274,0,0,0,0.243838,0,0.311847,1,1,1,,,,,,,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_gaze_data_T069.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T069.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T069.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T069.csv
3_avatartooluse,d3-023,1,70,3,34,2476.229,2482.17,0,0,0,0.244107,0,0.304504,1,1,1,,,,,,,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_gaze_data_T070.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T070.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T070.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T070.csv
3_avatartooluse,d3-023,1,71,3,35,2485.124,2491.466,0,0,0,0.244107,0,0.304504,1,1,1,,,,,,,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_gaze_data_T071.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T071.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T071.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T071.csv
3_avatartooluse,d3-023,1,72,3,36,2494.42,2500.651,0,0,0,0.245126,0,0.29324,1,1,1,,,,,,,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_gaze_data_T072.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T072.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T072.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T072.csv
3_avatartooluse,d3-023,1,73,3,37,2503.603,2517.26,0,0,0,0.247495,0,0.280243,1,1,1,,,,,,,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_gaze_data_T073.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T073.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T073.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T073.csv
