ppid,trial_num_in_block,time,start_time
d2-021,6,pre,425
d2-021,7,pre,375
d2-021,8,pre,385
d2-021,9,pre,375
d2-021,10,pre,445
d2-021,11,pre,360
d2-021,12,pre,395
d2-021,13,pre,500
d2-021,14,pre,390
d2-021,15,pre,375
d2-021,16,pre,480
d2-021,17,pre,435
d2-021,18,pre,385
d2-022,1,post,375
d2-022,2,post,130
d2-022,3,post,185
d2-022,4,post,300
d2-022,5,post,50
d2-022,6,post,250
d2-022,7,post,120
d2-022,8,post,275
d2-022,9,post,330
d2-022,10,post,100
d2-022,11,post,295
d2-022,12,post,215
d2-022,13,post,125
d2-022,14,post,205
d2-022,15,post,30
d2-022,16,post,155
d2-022,17,post,240
d2-022,18,post,250
d2-022,1,pre,495
d2-022,2,pre,350
d2-022,3,pre,380
d2-022,4,pre,365
d2-022,5,pre,420
d2-022,6,pre,345
d2-022,7,pre,470
d2-022,8,pre,295
d2-022,9,pre,360
d2-022,10,pre,345
d2-022,11,pre,300
d2-022,12,pre,285
d2-022,13,pre,310
d2-022,14,pre,330
d2-022,15,pre,315
d2-022,16,pre,30
d2-022,17,pre,290
d2-022,18,pre,145
d2-023,1,post,415
d2-023,2,post,270
d2-023,3,post,340
d2-023,4,post,315
d2-023,5,post,345
d2-023,6,post,155
d2-023,7,post,335
d2-023,8,post,355
d2-023,9,post,285
d2-023,10,post,140
d2-023,11,post,355
d2-023,12,post,250
d2-023,13,post,330
d2-023,14,post,180
d2-023,15,post,390
d2-023,16,post,345
d2-023,17,post,80
d2-023,18,post,95
d2-023,1,pre,1810
d2-023,2,pre,335
d2-023,3,pre,510
d2-023,4,pre,350
d2-023,5,pre,440
d2-023,6,pre,420
d2-023,7,pre,410
d2-023,8,pre,395
d2-023,9,pre,415
d2-023,10,pre,315
d2-023,11,pre,310
d2-023,12,pre,380
d2-023,13,pre,355
d2-023,14,pre,400
d2-023,15,pre,440
d2-023,16,pre,355
d2-023,17,pre,335
d2-023,18,pre,355
d2-024,1,post,240
d2-024,2,post,245
d2-024,3,post,380
d2-024,4,post,390
d2-024,5,post,330
d2-024,6,post,360
d2-024,7,post,245
d2-024,8,post,345
d2-024,9,post,430
d2-024,10,post,335
d2-024,11,post,365
d2-024,12,post,405
d2-024,13,post,305
d2-024,14,post,335
d2-024,15,post,290
d2-024,16,post,150
d2-024,17,post,400
d2-024,18,post,275
d2-024,1,pre,325
d2-024,2,pre,495
d2-024,3,pre,490
d2-024,4,pre,480
d2-024,5,pre,355
d2-024,6,pre,415
d2-024,7,pre,520
d2-024,8,pre,365
d2-024,9,pre,320
