experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,manual_reach_vive_wrist_movement_steamvr_location_0,manual_reach_ppt_hand_movement_location_0,landmarkstimulus_estimates_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_ppt_tool_movement_location_0
2_toolusenotinVR,214,1,76,3,40,1330.929,1335.127,,,,2_toolusenotinVR/214/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T076.csv,2_toolusenotinVR/214/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T076.csv
2_toolusenotinVR,214,1,77,3,41,1338.081,1341.913,,,,2_toolusenotinVR/214/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T077.csv,2_toolusenotinVR/214/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T077.csv
2_toolusenotinVR,214,1,78,3,42,1344.867,1348.654,,,,2_toolusenotinVR/214/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T078.csv,2_toolusenotinVR/214/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T078.csv
2_toolusenotinVR,214,1,79,3,43,1356.949,1361.492,,,,2_toolusenotinVR/214/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T079.csv,2_toolusenotinVR/214/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T079.csv
2_toolusenotinVR,214,1,80,3,44,1364.447,1369.411,,,,2_toolusenotinVR/214/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T080.csv,2_toolusenotinVR/214/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T080.csv
2_toolusenotinVR,214,1,81,3,45,1372.364,1376.407,,,,2_toolusenotinVR/214/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T081.csv,2_toolusenotinVR/214/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T081.csv
2_toolusenotinVR,214,1,82,3,46,1379.361,1391.511,,,,2_toolusenotinVR/214/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T082.csv,2_toolusenotinVR/214/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T082.csv
2_toolusenotinVR,214,1,83,3,47,1394.465,1398.564,,,,2_toolusenotinVR/214/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T083.csv,2_toolusenotinVR/214/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T083.csv
2_toolusenotinVR,214,1,84,3,48,1401.518,1406.501,,,,2_toolusenotinVR/214/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T084.csv,2_toolusenotinVR/214/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T084.csv
2_toolusenotinVR,214,1,85,4,1,1501.659,1506.391,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T085.csv,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T085.csv,,,
2_toolusenotinVR,214,1,86,4,2,1509.344,1512.821,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T086.csv,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T086.csv,,,
2_toolusenotinVR,214,1,87,4,3,1515.775,1519.084,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T087.csv,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T087.csv,,,
2_toolusenotinVR,214,1,88,4,4,1522.039,1525.437,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T088.csv,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T088.csv,,,
2_toolusenotinVR,214,1,89,4,5,1528.391,1531.534,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T089.csv,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T089.csv,,,
2_toolusenotinVR,214,1,90,4,6,1534.489,1537.487,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T090.csv,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T090.csv,,,
2_toolusenotinVR,214,1,91,4,7,1540.441,1543.795,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T091.csv,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T091.csv,,,
2_toolusenotinVR,214,1,92,4,8,1546.749,1550.071,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T092.csv,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T092.csv,,,
2_toolusenotinVR,214,1,93,4,9,1553.024,1556.567,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T093.csv,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T093.csv,,,
2_toolusenotinVR,214,1,94,4,10,1559.521,1562.786,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T094.csv,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T094.csv,,,
2_toolusenotinVR,214,1,95,4,11,1565.74,1568.783,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T095.csv,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T095.csv,,,
2_toolusenotinVR,214,1,96,4,12,1571.738,1574.758,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T096.csv,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T096.csv,,,
2_toolusenotinVR,214,1,97,4,13,1577.712,1580.755,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T097.csv,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T097.csv,,,
2_toolusenotinVR,214,1,98,4,14,1583.709,1586.83,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T098.csv,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T098.csv,,,
2_toolusenotinVR,214,1,99,4,15,1589.784,1592.727,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T099.csv,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T099.csv,,,
2_toolusenotinVR,214,1,100,4,16,1595.682,1598.68,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T100.csv,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T100.csv,,,
2_toolusenotinVR,214,1,101,4,17,1601.634,1604.844,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T101.csv,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T101.csv,,,
2_toolusenotinVR,214,1,102,4,18,1607.798,1610.663,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T102.csv,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T102.csv,,,
2_toolusenotinVR,214,1,103,5,1,1796.564,1800.764,,,2_toolusenotinVR/214/S001/trackers/landmark/landmarkstimulus_estimates_T103.csv,,
2_toolusenotinVR,214,1,104,5,2,1804.817,1806.283,,,2_toolusenotinVR/214/S001/trackers/landmark/landmarkstimulus_estimates_T104.csv,,
