experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,manual_reach_vive_wrist_movement_steamvr_location_0,manual_reach_ppt_hand_movement_location_0,manual_reach_eyeTrackingData_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_eyeTrackingData_location_0,tool_reach_ppt_tool_movement_location_0,landmarkstimulus_estimates_location_0,landmark_eyeTrackingData_location_0
1_tooluseinVR,d1-022,2,57,2,39,947.6862,954.8479,,,,1_tooluseinVR/d1-022/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T075.csv,1_tooluseinVR/d1-022/S002/trackers/tool_reach/tool_reach_eyeTrackingData_T075.csv,1_tooluseinVR/d1-022/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T075.csv,,
1_tooluseinVR,d1-022,2,58,2,40,957.8032,963.1881,,,,1_tooluseinVR/d1-022/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T076.csv,1_tooluseinVR/d1-022/S002/trackers/tool_reach/tool_reach_eyeTrackingData_T076.csv,1_tooluseinVR/d1-022/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T076.csv,,
1_tooluseinVR,d1-022,2,59,2,41,966.1434,972.2521,,,,1_tooluseinVR/d1-022/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T077.csv,1_tooluseinVR/d1-022/S002/trackers/tool_reach/tool_reach_eyeTrackingData_T077.csv,1_tooluseinVR/d1-022/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T077.csv,,
1_tooluseinVR,d1-022,2,60,2,42,975.2052,981.8126,,,,1_tooluseinVR/d1-022/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T078.csv,1_tooluseinVR/d1-022/S002/trackers/tool_reach/tool_reach_eyeTrackingData_T078.csv,1_tooluseinVR/d1-022/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T078.csv,,
1_tooluseinVR,d1-022,2,61,2,43,984.7681,991.1764,,,,1_tooluseinVR/d1-022/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T079.csv,1_tooluseinVR/d1-022/S002/trackers/tool_reach/tool_reach_eyeTrackingData_T079.csv,1_tooluseinVR/d1-022/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T079.csv,,
1_tooluseinVR,d1-022,2,62,2,44,994.1305,1005.359,,,,1_tooluseinVR/d1-022/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T080.csv,1_tooluseinVR/d1-022/S002/trackers/tool_reach/tool_reach_eyeTrackingData_T080.csv,1_tooluseinVR/d1-022/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T080.csv,,
1_tooluseinVR,d1-022,2,63,2,45,1008.312,1013.355,,,,1_tooluseinVR/d1-022/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T081.csv,1_tooluseinVR/d1-022/S002/trackers/tool_reach/tool_reach_eyeTrackingData_T081.csv,1_tooluseinVR/d1-022/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T081.csv,,
1_tooluseinVR,d1-022,2,64,2,46,1016.309,1022.262,,,,1_tooluseinVR/d1-022/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T082.csv,1_tooluseinVR/d1-022/S002/trackers/tool_reach/tool_reach_eyeTrackingData_T082.csv,1_tooluseinVR/d1-022/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T082.csv,,
1_tooluseinVR,d1-022,2,65,2,47,1025.216,1030.691,,,,1_tooluseinVR/d1-022/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T083.csv,1_tooluseinVR/d1-022/S002/trackers/tool_reach/tool_reach_eyeTrackingData_T083.csv,1_tooluseinVR/d1-022/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T083.csv,,
1_tooluseinVR,d1-022,2,66,2,48,1033.642,1038.73,,,,1_tooluseinVR/d1-022/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T084.csv,1_tooluseinVR/d1-022/S002/trackers/tool_reach/tool_reach_eyeTrackingData_T084.csv,1_tooluseinVR/d1-022/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T084.csv,,
