experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_eyeTrackingData_location_0,tool_reach_ppt_tool_movement_location_0,manual_reach_vive_wrist_movement_steamvr_location_0,manual_reach_eyeTrackingData_location_0,manual_reach_ppt_hand_movement_location_0,landmarkstimulus_estimates_location_0,landmark_eyeTrackingData_location_0
1_tooluseinVR,d-1-002,1,11,1,11,,,,,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T011.csv,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T011.csv,,
1_tooluseinVR,d-1-002,1,12,1,12,,,,,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T012.csv,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T012.csv,,
1_tooluseinVR,d-1-002,1,13,1,13,,,,,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T013.csv,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T013.csv,,
1_tooluseinVR,d-1-002,1,14,1,14,,,,,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T014.csv,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T014.csv,,
1_tooluseinVR,d-1-002,1,15,1,15,,,,,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T015.csv,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T015.csv,,
1_tooluseinVR,d-1-002,1,16,1,16,,,,,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T016.csv,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T016.csv,,
1_tooluseinVR,d-1-002,1,17,1,17,,,,,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T017.csv,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T017.csv,,
1_tooluseinVR,d-1-002,1,18,1,18,,,,,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T018.csv,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T018.csv,,
1_tooluseinVR,d-1-002,1,19,2,1,,,,,,,,,1_tooluseinVR/d-1-002/S001/trackers/landmark/landmarkstimulus_estimates_T019.csv,1_tooluseinVR/d-1-002/S001/trackers/landmark/landmark_eyeTrackingData_T019.csv
1_tooluseinVR,d-1-002,1,20,2,2,,,,,,,,,1_tooluseinVR/d-1-002/S001/trackers/landmark/landmarkstimulus_estimates_T020.csv,1_tooluseinVR/d-1-002/S001/trackers/landmark/landmark_eyeTrackingData_T020.csv
1_tooluseinVR,d-1-002,1,21,2,3,,,,,,,,,1_tooluseinVR/d-1-002/S001/trackers/landmark/landmarkstimulus_estimates_T021.csv,1_tooluseinVR/d-1-002/S001/trackers/landmark/landmark_eyeTrackingData_T021.csv
1_tooluseinVR,d-1-002,1,22,2,4,,,,,,,,,1_tooluseinVR/d-1-002/S001/trackers/landmark/landmarkstimulus_estimates_T022.csv,1_tooluseinVR/d-1-002/S001/trackers/landmark/landmark_eyeTrackingData_T022.csv
1_tooluseinVR,d-1-002,1,23,2,5,,,,,,,,,1_tooluseinVR/d-1-002/S001/trackers/landmark/landmarkstimulus_estimates_T023.csv,1_tooluseinVR/d-1-002/S001/trackers/landmark/landmark_eyeTrackingData_T023.csv
1_tooluseinVR,d-1-002,1,24,2,6,,,,,,,,,1_tooluseinVR/d-1-002/S001/trackers/landmark/landmarkstimulus_estimates_T024.csv,1_tooluseinVR/d-1-002/S001/trackers/landmark/landmark_eyeTrackingData_T024.csv
1_tooluseinVR,d-1-002,1,25,2,7,,,,,,,,,1_tooluseinVR/d-1-002/S001/trackers/landmark/landmarkstimulus_estimates_T025.csv,1_tooluseinVR/d-1-002/S001/trackers/landmark/landmark_eyeTrackingData_T025.csv
1_tooluseinVR,d-1-002,1,26,2,8,,,,,,,,,1_tooluseinVR/d-1-002/S001/trackers/landmark/landmarkstimulus_estimates_T026.csv,1_tooluseinVR/d-1-002/S001/trackers/landmark/landmark_eyeTrackingData_T026.csv
1_tooluseinVR,d-1-002,1,27,2,9,,,,,,,,,1_tooluseinVR/d-1-002/S001/trackers/landmark/landmarkstimulus_estimates_T027.csv,1_tooluseinVR/d-1-002/S001/trackers/landmark/landmark_eyeTrackingData_T027.csv
1_tooluseinVR,d-1-002,1,28,2,10,,,,,,,,,1_tooluseinVR/d-1-002/S001/trackers/landmark/landmarkstimulus_estimates_T028.csv,1_tooluseinVR/d-1-002/S001/trackers/landmark/landmark_eyeTrackingData_T028.csv
1_tooluseinVR,d-1-002,1,29,2,11,,,,,,,,,1_tooluseinVR/d-1-002/S001/trackers/landmark/landmarkstimulus_estimates_T029.csv,1_tooluseinVR/d-1-002/S001/trackers/landmark/landmark_eyeTrackingData_T029.csv
1_tooluseinVR,d-1-002,1,30,2,12,,,,,,,,,1_tooluseinVR/d-1-002/S001/trackers/landmark/landmarkstimulus_estimates_T030.csv,1_tooluseinVR/d-1-002/S001/trackers/landmark/landmark_eyeTrackingData_T030.csv
1_tooluseinVR,d-1-002,1,31,2,13,,,,,,,,,1_tooluseinVR/d-1-002/S001/trackers/landmark/landmarkstimulus_estimates_T031.csv,1_tooluseinVR/d-1-002/S001/trackers/landmark/landmark_eyeTrackingData_T031.csv
1_tooluseinVR,d-1-002,1,32,2,14,,,,,,,,,1_tooluseinVR/d-1-002/S001/trackers/landmark/landmarkstimulus_estimates_T032.csv,1_tooluseinVR/d-1-002/S001/trackers/landmark/landmark_eyeTrackingData_T032.csv
1_tooluseinVR,d-1-002,1,33,2,15,,,,,,,,,1_tooluseinVR/d-1-002/S001/trackers/landmark/landmarkstimulus_estimates_T033.csv,1_tooluseinVR/d-1-002/S001/trackers/landmark/landmark_eyeTrackingData_T033.csv
1_tooluseinVR,d-1-002,1,34,2,16,,,,,,,,,1_tooluseinVR/d-1-002/S001/trackers/landmark/landmarkstimulus_estimates_T034.csv,1_tooluseinVR/d-1-002/S001/trackers/landmark/landmark_eyeTrackingData_T034.csv
