experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,manual_reach_gaze_data_location_0,manual_reach_vrpn_movement_location_0,manual_reach_openvr_movement_steamvr_location_0,manual_reach_manus_movement_manus_Bip01 R Hand_location_0,landmark_estimates_location_0,landmark_gaze_data_location_0,tool_reach_gaze_data_location_0,tool_reach_vrpn_tool_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_manus_movement_manus_Bip01 R Hand_location_0
3_avatartooluse,d3-005,1,51,3,15,2008.274,2015.603,,,,,,,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_gaze_data_T051.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T051.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T051.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T051.csv
3_avatartooluse,d3-005,1,52,3,16,2018.558,2025.266,,,,,,,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_gaze_data_T052.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T052.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T052.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T052.csv
3_avatartooluse,d3-005,1,53,3,17,2028.22,2035.605,,,,,,,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_gaze_data_T053.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T053.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T053.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T053.csv
3_avatartooluse,d3-005,1,54,3,18,2038.559,2046.422,,,,,,,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_gaze_data_T054.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T054.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T054.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T054.csv
3_avatartooluse,d3-005,1,55,3,19,2049.377,2057.45,,,,,,,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_gaze_data_T055.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T055.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T055.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T055.csv
3_avatartooluse,d3-005,1,56,3,20,2060.405,2067.534,,,,,,,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_gaze_data_T056.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T056.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T056.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T056.csv
3_avatartooluse,d3-005,1,57,3,21,2070.489,2077.086,,,,,,,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_gaze_data_T057.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T057.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T057.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T057.csv
3_avatartooluse,d3-005,1,58,3,22,2080.04,2087.869,,,,,,,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_gaze_data_T058.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T058.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T058.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T058.csv
3_avatartooluse,d3-005,1,59,3,23,2090.824,2096.854,,,,,,,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_gaze_data_T059.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T059.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T059.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T059.csv
3_avatartooluse,d3-005,1,60,3,24,2099.809,2106.117,,,,,,,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_gaze_data_T060.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T060.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T060.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T060.csv
3_avatartooluse,d3-005,1,61,3,25,2137.813,2143.888,,,,,,,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_gaze_data_T061.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T061.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T061.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T061.csv
3_avatartooluse,d3-005,1,62,3,26,2146.842,2153.483,,,,,,,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_gaze_data_T062.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T062.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T062.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T062.csv
3_avatartooluse,d3-005,1,63,3,27,2156.437,2163.567,,,,,,,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_gaze_data_T063.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T063.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T063.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T063.csv
